Date,Time(min),Time(sec),Average Speed,Distance(km),Av. Heart rate,Calories Burnt
26-05-2020,41,2,16.15,11.04,174,601
27-05-2020,49,43,13.79,11.42,172,707
30-05-2020,46,42,14.6,11.36,144,547
01-06-2020,39,43,16.35,10.81,165,545
02-06-2020,42,33,16.16,11.45,173,613
06-06-2020,39,32,17.29,11.39,140,455
07-06-2020,40,40,17.1,11.58,173,581
08-06-2020,40,25,17.2,11.58,174,516
09-06-2020,39,22,16.63,10.9,170,550
10-06-2020,37,1,17.62,10.86,169,515
12-06-2020,38,13,18.34,11.68,178,571
13-06-2020,35,52,19.04,11.37,151,427
16-06-2020,49,12,18.33,15.03,168,691
17-06-2020,38,55,16.82,10.91,173,563
20-06-2020,36,28,18.66,11.33,171,522
22-06-2020,38,56,18.02,11.69,171,556
23-06-2020,37,7,18.41,11.38,158,494
24-06-2020,36,11,19.07,11.49,165,499
25-06-2020,36,31,18.91,11.51,164,504
28-06-2020,36,57,18.9,11.63,168,525
29-06-2020,36,53,18.71,11.49,164,512
30-06-2020,38,21,18.22,11.63,168,539
01-07-2020,35,21,19.34,11.39,170,513
05-07-2020,35,25,18.76,11.07,147,432
07-07-2020,43,52,20.59,15.05,175,647
08-07-2020,43,44,20.99,15.29,165,610
09-07-2020,46,34,19.48,15.11,161,622
12-07-2020,44,12,20.63,15.19,159,574
13-07-2020,43,25,21.06,15.23,161,572
14-07-2020,42,26,21.31,15.06,166,596
18-07-2020,41,37,20.82,14.43,159,541
19-07-2020,44,12,20.6,15.18,161,584
20-07-2020,33,24,20.84,11.59,162,439
21-07-2020,43,18,20.89,15.07,163,577
22-07-2020,29,55,12.52,6.24,124,250
24-07-2020,44,7,20.7,15.21,156,552
25-07-2020,27,59,19.81,9.23,143,300
26-07-2020,18,23,14.14,4.32,112,130
28-07-2020,45,0,20.09,15.07,147,515
29-07-2020,44,42,20.22,15.06,156,556
30-07-2020,54,42,20.4,18.59,149,642
31-07-2020,54,39,20.47,18.63,155,679
02-08-2020,53,26,20.78,18.5,165,720
03-08-2020,11,41,19.25,3.74,154,136
06-08-2020,53,4,20.88,18.46,173,771
07-08-2020,52,53,20.89,18.4,162,700
08-08-2020,53,38,20.68,18.48,169,750
09-08-2020,53,27,20.69,18.43,166,731
12-08-2020,53,21,20.83,18.52,161,693
13-08-2020,53,13,20.77,18.41,156,657
